maze,pos,steps,distance,path
M100.xml,0,37,2.9600000000000017,"[[-1.0, -1.4], [-0.9434314575050762, -1.343431457505076], [-0.8868629150101524, -1.2868629150101523], [-0.8302943725152285, -1.2302943725152284], [-0.7737258300203047, -1.1737258300203046], [-0.7171572875253809, -1.1171572875253808], [-0.6605887450304571, -1.060588745030457], [-0.6040202025355332, -1.0040202025355331], [-0.5474516600406094, -0.9474516600406093], [-0.4908831175456856, -0.8908831175456855], [-0.43431457505076176, -0.8343145750507617], [-0.43431457505076176, -0.7543145750507617], [-0.43431457505076176, -0.6743145750507618], [-0.37774603255583794, -0.6177460325558379], [-0.37774603255583794, -0.537746032555838], [-0.3211774900609141, -0.4811774900609141], [-0.2646089475659903, -0.42460894756599027], [-0.20804040507106647, -0.36804040507106645], [-0.15147186257614265, -0.3114718625761427], [-0.15147186257614265, -0.23147186257614266], [-0.09490332008121884, -0.17490332008121867], [-0.03833477758629503, -0.11833477758629488], [0.018233764908628797, -0.06176623509137115], [0.0748023074035526, -0.005197692596447354], [0.13137084989847642, 0.05137084989847644], [0.13137084989847642, 0.13137084989847644], [0.18793939239340024, 0.18793939239340024], [0.18793939239340024, 0.26793939239340026], [0.24450793488832406, 0.3245079348883241], [0.24450793488832406, 0.4045079348883241], [0.3010764773832479, 0.46107647738324786], [0.3010764773832479, 0.5410764773832478], [0.3576450198781717, 0.5976450198781716], [0.3576450198781717, 0.6776450198781716], [0.41421356237309553, 0.7342135623730954], [0.41421356237309553, 0.8142135623730954], [0.47078210486801936, 0.8707821048680192], [0.47078210486801936, 0.9507821048680192]]"
M003.xml,0,22,1.7600000000000007,"[[1.0, 1.4], [0.9434314575050762, 1.343431457505076], [0.8868629150101524, 1.2868629150101523], [0.8302943725152285, 1.2302943725152284], [0.7737258300203047, 1.1737258300203046], [0.7171572875253809, 1.1171572875253808], [0.6605887450304571, 1.060588745030457], [0.6040202025355332, 1.0040202025355331], [0.5474516600406094, 0.9474516600406093], [0.4908831175456856, 0.8908831175456855], [0.43431457505076176, 0.8343145750507617], [0.43431457505076176, 0.7543145750507617], [0.43431457505076176, 0.6743145750507618], [0.37774603255583794, 0.6177460325558379], [0.37774603255583794, 0.537746032555838], [0.3211774900609141, 0.4811774900609141], [0.2646089475659903, 0.42460894756599027], [0.20804040507106641, 0.3680404050710664], [0.1514718625761426, 0.31147186257614257], [0.15147186257614256, 0.23147186257614255], [0.15147186257614254, 0.15147186257614254], [0.09490332008121871, 0.09490332008121874], [0.038334777586294895, 0.038334777586294944]]"
M200.xml,0,37,2.9600000000000017,"[[-1.0, -1.4], [-0.9434314575050762, -1.343431457505076], [-0.8868629150101524, -1.2868629150101523], [-0.8302943725152285, -1.2302943725152284], [-0.7737258300203047, -1.1737258300203046], [-0.7171572875253809, -1.1171572875253808], [-0.6605887450304571, -1.060588745030457], [-0.6040202025355332, -1.0040202025355331], [-0.5474516600406094, -0.9474516600406093], [-0.4908831175456856, -0.8908831175456855], [-0.43431457505076176, -0.8343145750507617], [-0.43431457505076176, -0.7543145750507617], [-0.43431457505076176, -0.6743145750507618], [-0.37774603255583794, -0.6177460325558379], [-0.3211774900609141, -0.5611774900609141], [-0.2646089475659903, -0.5046089475659903], [-0.20804040507106647, -0.44804040507106646], [-0.15147186257614265, -0.39147186257614264], [-0.09490332008121884, -0.3349033200812187], [-0.03833477758629502, -0.27833477758629493], [0.01823376490862879, -0.22176623509137114], [0.07480230740355259, -0.16519769259644734], [0.13137084989847642, -0.10862915010152355], [0.18793939239340024, -0.05206060760659975], [0.18793939239340024, 0.02793939239340025], [0.18793939239340024, 0.10793939239340025], [0.18793939239340024, 0.18793939239340024], [0.18793939239340024, 0.26793939239340026], [0.24450793488832406, 0.3245079348883241], [0.3010764773832479, 0.3810764773832479], [0.3010764773832479, 0.4610764773832479], [0.3576450198781717, 0.5176450198781717], [0.41421356237309553, 0.5742135623730955], [0.41421356237309553, 0.6542135623730955], [0.47078210486801936, 0.7107821048680193], [0.47078210486801936, 0.7907821048680193], [0.47078210486801936, 0.8707821048680192], [0.47078210486801936, 0.9507821048680192]]"
M002.xml,0,22,1.7600000000000007,"[[-1.0, 1.4], [-0.9434314575050762, 1.343431457505076], [-0.8868629150101524, 1.2868629150101523], [-0.8302943725152285, 1.2302943725152284], [-0.7737258300203047, 1.1737258300203046], [-0.7171572875253809, 1.1171572875253808], [-0.6605887450304571, 1.060588745030457], [-0.6040202025355332, 1.0040202025355331], [-0.5474516600406094, 0.9474516600406093], [-0.4908831175456856, 0.8908831175456855], [-0.43431457505076176, 0.8343145750507617], [-0.43431457505076176, 0.7543145750507617], [-0.43431457505076176, 0.6743145750507618], [-0.37774603255583794, 0.6177460325558379], [-0.37774603255583794, 0.537746032555838], [-0.3211774900609141, 0.4811774900609141], [-0.2646089475659903, 0.42460894756599027], [-0.2080404050710665, 0.36804040507106645], [-0.15147186257614279, 0.3114718625761425], [-0.09490332008121899, 0.2549033200812187], [-0.094903320081219, 0.17490332008121867], [-0.03833477758629521, 0.11833477758629485], [-0.03833477758629522, 0.038334777586294846]]"
M000.xml,0,32,2.5600000000000014,"[[1.0, -1.4], [1.0, -1.3199999999999998], [1.0, -1.2399999999999998], [1.0, -1.1599999999999997], [1.0, -1.0799999999999996], [1.0, -0.9999999999999997], [1.0, -0.9199999999999997], [1.0, -0.8399999999999997], [1.0, -0.7599999999999998], [1.0, -0.6799999999999998], [1.0, -0.5999999999999999], [1.0, -0.5199999999999999], [1.0, -0.4399999999999999], [1.0, -0.3599999999999999], [1.0, -0.27999999999999986], [1.0, -0.19999999999999984], [0.9434314575050762, -0.14343145750507602], [0.9434314575050762, -0.06343145750507602], [0.8868629150101524, -0.00686291501015221], [0.8868629150101524, 0.07313708498984779], [0.8302943725152285, 0.1297056274847716], [0.8302943725152285, 0.20970562748477162], [0.8302943725152285, 0.28970562748477163], [0.7737258300203047, 0.34627416997969546], [0.7171572875253809, 0.4028427124746193], [0.7171572875253809, 0.4828427124746193], [0.6605887450304571, 0.5394112549695431], [0.6605887450304571, 0.6194112549695431], [0.6040202025355332, 0.6759797974644669], [0.6040202025355332, 0.7559797974644669], [0.5474516600406094, 0.8125483399593907], [0.4908831175456856, 0.8691168824543145], [0.4908831175456856, 0.9491168824543145]]"
M000.xml,1,37,2.9600000000000017,"[[-1.0, -1.4], [-0.9434314575050762, -1.343431457505076], [-0.8868629150101524, -1.2868629150101523], [-0.8302943725152285, -1.2302943725152284], [-0.7737258300203047, -1.1737258300203046], [-0.7171572875253809, -1.1171572875253808], [-0.6605887450304571, -1.060588745030457], [-0.6040202025355332, -1.0040202025355331], [-0.5474516600406094, -0.9474516600406093], [-0.4908831175456856, -0.8908831175456855], [-0.43431457505076176, -0.8343145750507617], [-0.43431457505076176, -0.7543145750507617], [-0.43431457505076176, -0.6743145750507618], [-0.37774603255583794, -0.6177460325558379], [-0.37774603255583794, -0.537746032555838], [-0.3211774900609141, -0.4811774900609141], [-0.2646089475659903, -0.42460894756599027], [-0.20804040507106647, -0.3680404050710664], [-0.15147186257614265, -0.31147186257614257], [-0.09490332008121884, -0.25490332008121874], [-0.038334777586295006, -0.19833477758629486], [0.018233764908628804, -0.14176623509137107], [0.018233764908628807, -0.061766235091371066], [0.01823376490862881, 0.018233764908628936], [0.018233764908628814, 0.09823376490862894], [0.07480230740355262, 0.15480230740355272], [0.13137084989847642, 0.21137084989847651], [0.18793939239340024, 0.2679393923934003], [0.24450793488832406, 0.3245079348883241], [0.24450793488832406, 0.4045079348883241], [0.3010764773832479, 0.46107647738324786], [0.3010764773832479, 0.5410764773832478], [0.3576450198781717, 0.5976450198781716], [0.3576450198781717, 0.6776450198781716], [0.3576450198781717, 0.7576450198781716], [0.41421356237309553, 0.8142135623730954], [0.47078210486801936, 0.8707821048680192], [0.47078210486801936, 0.9507821048680192]]"
M000.xml,2,23,1.8400000000000007,"[[-1.0, 0.1], [-0.9434314575050762, 0.1565685424949238], [-0.8868629150101524, 0.2131370849898476], [-0.8302943725152285, 0.2697056274847714], [-0.7737258300203047, 0.32627416997969516], [-0.7171572875253809, 0.382842712474619], [-0.6605887450304571, 0.4394112549695428], [-0.6040202025355332, 0.49597979746446663], [-0.5240202025355333, 0.49597979746446663], [-0.4674516600406094, 0.5525483399593905], [-0.3874516600406094, 0.5525483399593905], [-0.3074516600406094, 0.5525483399593905], [-0.25088311754568554, 0.6091168824543143], [-0.19431457505076172, 0.6656854249492381], [-0.1377460325558379, 0.7222539674441619], [-0.08117749006091408, 0.7788225099390857], [-0.0011774900609140826, 0.7788225099390857], [0.05539105243400973, 0.8353910524340096], [0.13539105243400973, 0.8353910524340096], [0.19195959492893355, 0.8919595949289334], [0.24852813742385738, 0.9485281374238572], [0.3285281374238574, 0.9485281374238572], [0.4085281374238574, 0.9485281374238572], [0.46509667991878123, 1.005096679918781]]"
M000.xml,3,13,1.04,"[[1.0, 0.1], [0.9434314575050762, 0.1565685424949238], [0.8868629150101524, 0.21313708498984762], [0.8302943725152285, 0.26970562748477145], [0.7737258300203047, 0.32627416997969527], [0.7737258300203047, 0.4062741699796953], [0.7171572875253809, 0.4628427124746191], [0.7171572875253809, 0.5428427124746191], [0.6605887450304571, 0.599411254969543], [0.6605887450304571, 0.6794112549695429], [0.6040202025355332, 0.7359797974644667], [0.6040202025355332, 0.8159797974644667], [0.5474516600406094, 0.8725483399593905], [0.5474516600406094, 0.9525483399593905]]"
M001.xml,0,22,1.7600000000000007,"[[-1.0, -1.4], [-0.9434314575050762, -1.343431457505076], [-0.8868629150101524, -1.2868629150101523], [-0.8302943725152285, -1.2302943725152284], [-0.7737258300203047, -1.1737258300203046], [-0.7171572875253809, -1.1171572875253808], [-0.6605887450304571, -1.060588745030457], [-0.6040202025355332, -1.0040202025355331], [-0.5474516600406094, -0.9474516600406093], [-0.4908831175456856, -0.8908831175456855], [-0.43431457505076176, -0.8343145750507617], [-0.43431457505076176, -0.7543145750507617], [-0.43431457505076176, -0.6743145750507618], [-0.37774603255583794, -0.6177460325558379], [-0.3211774900609141, -0.5611774900609141], [-0.2646089475659903, -0.5046089475659903], [-0.20804040507106647, -0.44804040507106646], [-0.15147186257614265, -0.39147186257614264], [-0.09490332008121884, -0.3349033200812188], [-0.09490332008121884, -0.25490332008121885], [-0.09490332008121884, -0.17490332008121884], [-0.03833477758629503, -0.11833477758629504], [-0.03833477758629502, -0.03833477758629504]]"
M004.xml,0,22,1.7600000000000007,"[[1.0, -1.4], [0.9434314575050762, -1.343431457505076], [0.8868629150101524, -1.2868629150101523], [0.8302943725152285, -1.2302943725152284], [0.7737258300203047, -1.1737258300203046], [0.7171572875253809, -1.1171572875253808], [0.6605887450304571, -1.060588745030457], [0.6040202025355332, -1.0040202025355331], [0.5474516600406094, -0.9474516600406093], [0.4908831175456856, -0.8908831175456855], [0.43431457505076176, -0.8343145750507617], [0.43431457505076176, -0.7543145750507617], [0.43431457505076176, -0.6743145750507618], [0.37774603255583794, -0.6177460325558379], [0.37774603255583794, -0.537746032555838], [0.3211774900609141, -0.4811774900609141], [0.2646089475659903, -0.42460894756599027], [0.2080404050710665, -0.36804040507106645], [0.1514718625761427, -0.3114718625761426], [0.0949033200812189, -0.2549033200812188], [0.0949033200812189, -0.17490332008121878], [0.03833477758629511, -0.11833477758629497], [0.03833477758629512, -0.03833477758629497]]"
